lbl_803CD000                  0.5                                          numeric literal label
lbl_803CD004                  1.0                                          numeric literal label
lbl_803CD008                  -1.0                                         numeric literal label
lbl_803CD020                  0.5                                          numeric literal label
lbl_803CD028                  3.0                                          numeric literal label
lbl_803CD030                  0.0                                          numeric literal label
lbl_803CD03C                  2.0                                          numeric literal label
lbl_803CD040                  c1000                                        numeric literal label
lbl_803CD048                  tfd                                          name already used in repo: tfd
lbl_803CD060                  0.0                                          numeric literal label
lbl_803CD064                  1.0                                          numeric literal label
lbl_803CD220                  tfd                                          name already used in repo: tfd
fn_2_0                        maybeProcessTeamData                         name already used in repo: maybeProcessTeamData
fn_3_258                      unreferenced                                 low-information
fn_3_35E4                     setFanObjPtr                                 name already used in repo: setFanObjPtr
fn_2_7D44                     unreferenced                                 low-information
fn_3_1E724                    unreferenced                                 low-information
fn_3_20EEC                    unused                                       low-information
fn_3_258D8                    unused                                       low-information
fn_2_28224                    wallJumpInitialization                       name already used in repo: wallJumpInitialization
fn_3_2ACD8                    unused                                       low-information
fn_2_2C698                    checkForCatchBallAction                      name already used in repo: checkForCatchBallAction
fn_3_2F7D4                    unused                                       low-information
fn_3_300B8                    unused                                       low-information
fn_3_3061C                    unused                                       low-information
fn_3_30A58                    unReferenced                                 low-information
fn_3_31678                    unused                                       low-information
fn_3_31A3C                    unused                                       low-information
fn_3_38234                    unreferenced                                 low-information
fn_3_5CFD0                    unreferenced                                 low-information
fn_2_63874                    runnerAnimation_detailed                     name already used in repo: runnerAnimation_detailed
fn_2_6AF9C                    computeAdjustedFielderOrientation            name already used in repo: computeAdjustedFielderOrientation
fn_3_6D6D4                    unreferenced                                 low-information
fn_3_6FA28                    unused                                       low-information
fn_3_6FB98                    unused                                       low-information
fn_3_70838                    unused                                       low-information
fn_3_70B94                    unused                                       low-information
fn_3_7372C                    unreferenced                                 low-information
fn_3_73DE8                    unreferenced                                 low-information
fn_3_73F2C                    unused                                       low-information
fn_3_73FAC                    unused                                       low-information
fn_3_7F9C4                    unused?                                      low-information
fn_3_7FD90                    unused?                                      low-information
fn_3_81AB8                    unReferenced                                 low-information
fn_3_833EC                    unused?                                      low-information
fn_2_84388                    unreferenced                                 low-information
fn_2_851A8                    unreferenced                                 low-information
fn_3_870AC                    unreferenced                                 low-information
fn_3_8A5A4                    initializeInMemRunner                        name already used in repo: initializeInMemRunner
fn_3_8A618                    unreferenced                                 low-information
fn_3_8A7B4                    (unused)                                     low-information
fn_3_91C70                    animateScreenRelated                         name already used in repo: animateScreenRelated
fn_3_AF5A4                    pauseMenuControl                             name already used in repo: pauseMenuControl
fn_3_B01E0                    unused?                                      low-information
fn_3_B0464                    unused?                                      low-information
fn_3_B11D0                    unused                                       low-information
fn_3_B12F8                    unused                                       low-information
fn_3_B60F0                    unused                                       low-information
fn_3_B61C0                    unused                                       low-information
fn_3_B6E98                    unused                                       low-information
fn_3_B6F6C                    unused                                       low-information
fn_3_DEB90                    toyFieldRelated                              name already used in repo: toyFieldRelated
fn_3_F2FFC                    unreferenced                                 low-information
fn_3_F4C4C                    unreferenced                                 low-information
fn_3_106ED4                   unreferenced                                 low-information
fn_3_10C450                   unused                                       low-information
fn_3_10C58C                   unused                                       low-information
fn_3_111C5C                   unused                                       low-information
fn_3_115540                   unreferenced                                 low-information
fn_3_115978                   unreferenced                                 low-information
fn_3_135A64                   unused                                       low-information
fn_3_13AA78                   starDashRelated                              name already used in repo: starDashRelated
fn_3_15B494                   fieldingPracticeRelated                      name already used in repo: fieldingPracticeRelated
fn_3_15B79C                   animationRelated                             name already used in repo: animationRelated
fn_3_1663AC                   practiceAnimationRelated                     name already used in repo: practiceAnimationRelated
lbl_3_rodata_120              -1.0                                         numeric literal label
lbl_3_rodata_124              0.0                                          numeric literal label
